seed,profundidade,pontuacao,passos,bateria_final,recargas,tempo_execucao
98,1,60,140,8,2,14.250486135482788
98,2,38,162,0,3,16.61022114753723
98,3,104,96,14,2,11.161622285842896
98,4,110,90,2,1,18.358318090438843
99,1,73,119,-2,1,12.14844012260437
99,2,63,137,28,3,14.102585077285767
99,3,75,125,42,2,13.708240509033203
99,4,87,113,4,1,17.790058374404907
100,1,67,125,7,1,12.745284080505371
100,2,35,165,7,3,16.889999628067017
100,3,72,128,0,1,14.139992237091064
100,4,81,119,11,1,19.4561607837677
101,1,-30,102,-32,0,10.435835599899292
101,2,120,72,-2,0,7.582895755767822
101,3,120,72,-2,0,8.759883165359497
101,4,50,142,25,2,24.74844217300415
102,1,-47,127,33,1,12.919739246368408
102,2,55,145,33,4,14.888630151748657
102,3,73,127,29,2,13.807743310928345
102,4,77,123,33,2,18.170571088790894
103,1,65,115,28,2,11.741678953170776
103,2,19,149,22,3,15.28963017463684
103,3,39,161,34,4,17.460710048675537
103,4,69,131,34,2,20.499907970428467
104,1,-138,170,40,2,17.271982669830322
104,2,-90,146,38,2,14.998895168304443
104,3,66,134,4,3,14.94013500213623
104,4,26,174,30,4,27.551023960113525
105,1,71,105,31,1,10.708933115005493
105,2,101,99,21,1,10.217540740966797
105,3,99,101,21,1,11.200685501098633
105,4,103,97,31,1,16.632925987243652
106,1,107,77,-4,1,7.88164210319519
106,2,131,69,1,0,7.136860370635986
106,3,125,71,-1,0,7.757734060287476
106,4,131,69,1,0,10.854008913040161
107,1,-43,139,17,1,14.138598203659058
107,2,-25,101,-31,0,10.470555067062378
107,3,79,121,5,1,13.580803394317627
107,4,65,83,-13,0,17.0374538898468
108,1,17,143,8,2,14.593000650405884
108,2,-65,109,-39,0,11.221315622329712
108,3,85,115,18,2,12.962013006210327
108,4,69,131,18,3,24.419034242630005
109,1,78,122,10,2,12.420867919921875
109,2,66,110,-6,2,11.367181777954102
109,3,58,142,10,3,15.521348237991333
109,4,84,116,10,2,18.868753671646118
110,1,120,80,32,1,8.211765766143799
110,2,108,92,28,1,9.50988221168518
110,3,126,74,28,1,8.598372459411621
110,4,126,74,32,1,13.820794105529785
111,1,73,127,25,3,12.938061237335205
111,2,61,139,25,3,14.258526086807251
111,3,89,111,53,3,12.33255934715271
111,4,95,105,15,1,17.088789463043213
112,1,63,137,15,2,13.93898892402649
112,2,46,154,12,2,15.807811260223389
112,3,74,126,12,2,14.0098717212677
112,4,91,105,-1,2,18.580505847930908
113,1,-68,128,37,1,13.027235269546509
113,2,104,96,25,1,9.969772577285767
113,3,68,132,37,2,14.720055103302002
113,4,46,146,41,3,25.028472423553467
114,1,55,137,16,3,13.93181300163269
114,2,55,129,-4,1,13.228204011917114
114,3,77,123,8,2,13.658810138702393
114,4,83,117,16,2,20.338715076446533
115,1,27,133,21,2,13.528331518173218
115,2,-17,161,15,3,16.519011974334717
