seed,profundidade,pontuacao,passos,bateria_final,recargas,tempo_execucao
82,1,20,120,-15,2,12.246637105941772
82,2,24,152,23,2,15.698582172393799
82,3,22,178,29,5,20.378596305847168
82,4,48,152,1,2,28.64827060699463
82,5,78,122,7,1,82.4565122127533
83,1,66,110,41,2,11.266021728515625
83,2,66,98,41,1,10.180136680603027
83,3,44,156,41,4,17.659557342529297
83,4,84,116,41,2,22.57766318321228
83,5,102,98,41,2,67.24063777923584
84,1,19,125,46,3,12.779785871505737
84,2,35,137,-2,1,14.14084792137146
84,3,67,133,24,3,15.5000638961792
84,4,59,113,24,1,21.341466188430786
84,5,125,71,-1,0,72.49077725410461
85,1,-6,158,44,2,16.10187816619873
85,2,65,123,-3,1,12.737375974655151
85,3,73,127,39,2,14.528332471847534
85,4,69,131,39,2,23.917561531066895
85,5,84,116,26,2,86.33793830871582
86,1,51,149,2,4,15.170230865478516
86,2,44,156,37,4,16.071048736572266
86,3,34,166,37,6,18.93071174621582
86,4,76,124,33,4,23.741070985794067
86,5,86,114,29,4,94.51629066467285
87,1,80,84,-9,1,8.621211051940918
87,2,83,113,18,1,11.649104356765747
87,3,98,102,27,1,11.29119348526001
87,4,107,93,18,1,16.288296937942505
87,5,92,108,7,1,58.39077019691467
88,1,50,86,-16,0,8.828023672103882
88,2,94,106,14,1,10.999296426773071
88,3,98,102,4,1,11.570094347000122
88,4,118,82,32,1,15.24210238456726
88,5,114,86,4,1,52.947813510894775
89,1,68,132,12,2,13.46888017654419
89,2,44,156,2,2,16.07947278022766
89,3,120,80,24,1,9.708011150360107
89,4,120,80,24,1,18.608669757843018
89,5,120,80,24,1,67.4113233089447
90,1,50,86,-16,0,8.831238746643066
90,2,43,125,13,1,12.929693222045898
90,3,81,119,11,2,14.034138679504395
90,4,85,115,41,2,23.250497817993164
90,5,85,115,41,2,77.68801879882812
91,1,43,149,25,2,15.17904019355774
91,2,-2,154,4,2,15.88850450515747
91,3,72,128,8,2,14.722295045852661
91,4,92,108,20,1,20.008326530456543
91,5,92,108,20,1,62.75014853477478
92,1,30,90,-20,0,9.22139859199524
92,2,49,143,35,2,14.757236957550049
92,3,63,137,33,2,15.62101149559021
92,4,85,115,15,2,23.74933433532715
92,5,55,145,1,3,106.84010529518127
93,1,-30,102,-32,0,10.430145502090454
93,2,95,105,17,1,10.86889910697937
93,3,89,111,17,1,12.651606798171997
93,4,93,107,17,1,18.4991614818573
93,5,96,104,4,2,79.11916732788086
94,1,49,111,43,2,11.34937596321106
94,2,69,131,43,3,13.521544933319092
94,3,99,101,23,1,11.64307975769043
94,4,93,107,7,1,18.709510326385498
94,5,105,95,43,2,64.4657666683197
95,1,-7,143,3,1,14.579888105392456
95,2,-67,171,41,2,17.59307074546814
95,3,89,107,-1,1,12.872787714004517
95,4,73,123,-1,2,25.619592905044556
95,5,95,101,-1,1,79.07054543495178
96,1,25,103,45,1,10.536155223846436
96,2,93,107,9,1,11.057791471481323
96,3,89,111,9,1,12.250551223754883
96,4,105,95,1,1,16.04832410812378
96,5,109,91,31,1,46.4986617565155
97,1,73,115,18,1,11.749626398086548
97,2,101,99,6,1,10.334627628326416
97,3,79,117,14,1,13.398854970932007
97,4,87,113,8,1,21.079664707183838
97,5,101,99,6,1,63.44676327705383
98,1,60,140,8,2,14.301385402679443
98,2,38,162,0,3,16.75102686882019
98,3,104,96,14,2,11.669060945510864
98,4,110,90,2,1,20.90704584121704
98,5,113,87,5,1,67.17007374763489
99,1,73,119,-2,1,12.211814403533936
99,2,63,137,28,3,14.220518827438354
99,3,75,125,42,2,13.966842412948608
99,4,87,113,4,1,19.600223302841187
99,5,75,125,42,2,56.60422897338867
100,1,67,125,7,1,12.758994817733765
100,2,35,165,7,3,16.978811740875244
100,3,72,128,0,1,14.441770315170288
100,4,81,119,11,1,22.12258505821228
100,5,83,117,11,1,55.73686408996582
